cat,date,des,done,duration,grp,id,name,prj,tags
Operation,2022-1023-05,,true,0:30,MFVN,1e82aa77-3a52-4791-9440-a0cfa45793a7,Week planning,marketflow,mf-others
Engineering,2022-1023-15,,true,3h,Personal,4928ac9c-8ecd-49dd-b987-13b20ed3f04b,Management spreadsheet,AWS,
Operation,2023-04-11,,true,15m,Personal,ec44013a-08d4-43c0-96ba-facc82b4d4a9,Create ChatGPT account,Cosmic Engine,
Operation,2023-04-04,,true,20m,MFVN,17640031-112f-4351-a83f-c12035ff2c38,Backup websites,marketflow,
Operation,2023-04-06,,true,2m,Personal,d04e5493-2c48-44a4-a189-6d1086c677ab,Management,Management,
Operation,2023-02-22,,true,18m,MFVN,4a303c4c-de36-4750-aae8-3390e1d26ec9,Work with Kami on ID Screen blog,mf-ids-vertical,
Operation,2022-12-30,,true,10m,MFVN,05f26850-b873-45a0-98ae-f5fd5825cf8a,Risk Gateway,mf-risk-gateway,
Navigation,2023-03-20,,true,20m,Personal,01e4dab2-a308-49c2-bbfa-716a6e3c86be,German,German,
Aesthetics,2023-02-16,,true,33m,Personal,95644f1b-5416-49a5-9b03-fc5562a751a2,Installation art: lịch sự - politeness,Visual Arts,
Operation,2023-01-24,,true,5m,Personal,877f5c1d-3c8f-4054-b2d6-f39b280769c2,Organizing notes,Business,
Operation,2022-11-29,,true,50m,MFVN,a28bc74b-b106-4cce-a747-3cfe4e8e4ba0,fix cancel,marketflow,
Operation,2022-1023-05,,true,1:00,MFVN,91b82469-fe45-4dc1-8540-118c0063f4e6,Improve UI: Prepopulate dob field (>>),Vue,
Operation,2022-11-14,,true,1:20,MFVN,38af68c4-0584-426d-bb73-4c7758b51ceb,Fix MSDaily with Kami,marketflow,
Operation,2023-02-16,,true,15m,Personal,6e01f496-28ac-48bf-b62c-d7ffcdc5fd80,Management,Management,
Operation,2023-05-18,,true,45m,MFVN,0af93174-ffb4-430f-a09d-c77d46f730dd,Authentication,marketflow,
Operation,2023-05-26,,true,1:05,MFVN,51ab7aff-71f3-412e-aa6c-158756462a09,Update UI websites,marketflow,
Operation,2022-11-21,,true,4:30,MFVN,2a688f8b-c04c-4f56-b1f4-e976c67f27ef,Saving Play,marketflow,
Operation,2022-1023-05,,true,1:00,MFVN,e1e3b98d-4fcd-47dd-8b37-f3e44e3fc7a0,Fix logics automation & run daily file,Vue,
Operation,2023-02-27,,true,52m,MFVN,f51cb5b1-98e6-4b59-9bed-a4ca1d0a4760,Review member mgmt repo,mf-member-mgmt,
Business,2022-12-28,,true,45m,Personal,0a8c90b2-5343-436d-b51c-1fbb11517ef3,Mở khóa TMĐT VN Trà Bô,Values,
Operation,2023-03-09,,true,7m,MFVN,856f2abc-4472-402c-965d-323436df20c2,Update descriptor,mf-ids-vertical,
Operation,2023-04-17,,true,0.1493055556,MFVN,83cad4d4-e269-4378-9baf-2fd4ba2dc275,Create preset v11,mf-funnel,
Operation,2023-04-26,,true,11m,MFVN,51bd1509-eda2-4863-bd70-6f7a9bc9b27a,Sync call,,mf-com
Operation,2023-02-17,,true,1:52,MFVN,43b72e8d-6729-4693-bcb6-5dccea27769a,Deploy,mf-funnel,
Operation,2022-12-12,,true,5m,MFVN,2426559a-efb9-4d1d-9798-3e1cbbc5e010,ID Screen,marketflow,
Operation,2023-04-07,,true,12m,MFVN,cc787f9d-0beb-4ee5-8d88-43d8ed82b890,Refactor bank page,mf-websites,
Operation,2022-1023-30,,true,4h,MFVN,50f9d4f4-9b11-4708-a893-22959d4e5b8c,IDScreen: mobile page 1,marketflow,
Business,2022-12-22,,true,2h,Personal,aeacbb90-cb4c-4e0e-aaf0-fd655d3f0c69,Mở khóa TMĐT VN Trà Bô,marketflow,
